"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"SZQR85VE","preprint","2022","Jendal, Theis E.; Lissandrini, Matteo; Dolog, Peter; Hose, Katja","Simple and Powerful Architecture for Inductive Recommendation Using Knowledge Graph Convolutions","","","","","http://arxiv.org/abs/2209.04185","Using graph models with relational information in recommender systems has shown promising results. Yet, most methods are transductive, i.e., they are based on dimensionality reduction architectures. Hence, they require heavy retraining every time new items or users are added. Conversely, inductive methods promise to solve these issues. Nonetheless, all inductive methods rely only on interactions, making recommendations for users with few interactions sub-optimal and even impossible for new items. Therefore, we focus on inductive methods able to also exploit knowledge graphs (KGs). In this work, we propose SimpleRec, a strong baseline that uses a graph neural network and a KG to provide better recommendations than related inductive methods for new users and items. We show that it is unnecessary to create complex model architectures for user representations, but it is enough to allow users to be represented by the few ratings they provide and the indirect connections among them without any user metadata. As a result, we re-evaluate state-of-the-art methods, identify better evaluation protocols, highlight unwarranted conclusions from previous proposals, and showcase a novel, stronger baseline for this task.","2022-09-13","2022-09-19 07:33:19","2022-09-19 07:33:19","2022-09-19 07:33:19","","","","","","","","","","","","arXiv","","","","","","","arXiv.org","","arXiv:2209.04185 [cs]","","/Users/q537342/Zotero/storage/62RUKDT9/Jendal et al. - 2022 - Simple and Powerful Architecture for Inductive Rec.pdf; /Users/q537342/Zotero/storage/NIFLR94D/2209.html","","","Computer Science - Information Retrieval","","","","","","","","","","","","","","","","","","","arXiv:2209.04185","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"LTQIBX4X","journalArticle","2016","University of Virginia; Abbasi, Ahmed; Sarker, Suprateek; University of Virginia; Aalto University; Chiang, Roger; University of Cincinnati","Big Data Research in Information Systems: Toward an Inclusive Research Agenda","Journal of the Association for Information Systems","","15369323","10.17705/1jais.00423","http://aisel.aisnet.org/jais/vol17/iss2/3/","","2016-02","2022-10-03 10:03:21","2022-10-03 10:03:21","2022-10-03 10:03:21","I-XXXII","","2","17","","JAIS","Big Data Research in Information Systems","","","","","","","","","","","","DOI.org (Crossref)","","","","/Users/q537342/Zotero/storage/AURSPXTY/University of Virginia et al. - 2016 - Big Data Research in Information Systems Toward a.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"APPRC5WI","journalArticle","2012","Chen; Chiang; Storey","Business Intelligence and Analytics: From Big Data to Big Impact","MIS Quarterly","","02767783","10.2307/41703503","http://www.jstor.org/stable/10.2307/41703503","","2012","2022-10-03 10:16:18","2022-10-03 10:16:18","2022-10-03 10:16:18","1165","","4","36","","MIS Quarterly","Business Intelligence and Analytics","","","","","","","","","","","","DOI.org (Crossref)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BCBGV9BF","conferencePaper","2012","Thoring, Katja; Mueller, Robert","Design thinking vs. lean startup: A comparison of two user-driven innovation strategies","Leading through design","","","","","","2012","2022-10-03 10:19:25","2022-10-03 10:20:40","","91 - 106","","","151","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Z3REFMRV","book","2015","","Management of permanent change","","978-3-658-05013-9 978-3-658-14068-7","","","","","2015","2022-10-03 10:21:38","2022-10-03 10:21:38","","","240","","","","","","Research","","","","Springer Gabler","Wiesbaden","eng","","","","","K10plus ISBN","","DOI: 10.1007/978-3-658-05014-6","","/Users/q537342/Zotero/storage/XR748E8Q/Albach et al. - 2015 - Management of permanent change.pdf","","","","Albach, Horst; Meffert, Heribert; Pinkwart, Andreas; Reichwald, Ralf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"KSNVIDIN","bookSection","2015","Kagermann, Henning","Change Through Digitization—Value Creation in the Age of Industry 4.0","Management of Permanent Change","978-3-658-05013-9 978-3-658-05014-6","","","http://link.springer.com/10.1007/978-3-658-05014-6_2","","2015","2022-10-03 10:22:41","2022-10-03 10:22:41","2022-10-03 10:22:41","23-45","","","","","","","","","","","Springer Fachmedien Wiesbaden","Wiesbaden","en","","","","","DOI.org (Crossref)","","DOI: 10.1007/978-3-658-05014-6_2","","","","","","Albach, Horst; Meffert, Heribert; Pinkwart, Andreas; Reichwald, Ralf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"YMAJMYWF","journalArticle","2009","Edmondson, A. C.; Nembhard, I.M.","Product development and learning in project teams: the challenges are the benefits","Development and Learning in Organizations: An International Journal","","1477-7282","10.1108/dlo.2009.08123ead.004","https://www.emerald.com/insight/content/doi/10.1108/dlo.2009.08123ead.004/full/html","","2009-08-21","2022-10-03 10:27:43","2022-10-03 10:28:56","2022-10-03 10:27:43","","","5","23","","","Product development and learning in project teams","","","","","","","en","","","","","DOI.org (Crossref)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6T5NRYQG","book","2016","Chandler, Daniel; Munday, Rod","A dictionary of social media","","978-0-19-180309-3","","","http://www.oxfordreference.com/view/10.1093/acref/9780191803093.001.0001/acref-9780191803093","","2016-01-01","2022-10-03 11:23:57","2022-10-03 11:24:14","2022-10-03 11:23:57","","","","","","","","","","","","Oxford University Press","","en","","","","","DOI.org (Crossref)","","DOI: 10.1093/acref/9780191803093.001.0001","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2J523PKM","journalArticle","2017","Li, Qian; Guo, Xunhua; Bai, Xue","Weekdays or weekends: Exploring the impacts of microblog posting patterns on gratification and addiction","Information & Management","","0378-7206","10.1016/j.im.2016.12.004","https://www.sciencedirect.com/science/article/pii/S037872061630386X","Previous research has found that social networking applications such as microblogs can develop gratification and addiction among users. Although it is generally believed that gratification reflects the gains through use and that addiction is caused by excessive use of the technology, limited research has been done to empirically verify the relationship between usage patterns and gratification versus addiction. This paper attempts to explore the impacts of posting patterns on gratification and addiction dimensions for microblog platforms. On the basis of existing literature on use and gratifications of media users, we focus on examining the different posting patterns between weekdays and weekends. By using multiple data collection methods, a data set was obtained consisting of 308 microblog users. Our analysis shows that the overall posting frequency is not significantly related to gratification and addiction levels. Moreover, the posting of microblogs is usually more intensive on weekdays than on weekends. Heavy weekend users tend to feel more socially gratified and are most likely to be addicted. In contrast, heavy weekday users are usually not addicted, and reported the lowest levels of gratification among all users. Balanced users that do not display distinguishable difference between weekdays and weekends manifest gratification levels around the average levels, and are less addicted than weekend users, even if their overall usage amounts are heavy.","2017-07-01","2022-10-03 11:43:28","2022-10-03 11:43:28","","613-624","","5","54","","Information & Management","","","","","","","","","","","","","","","","","","","Addiction; Microblog; Use and gratification; Weekdays and weekends","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3XBWLM9W","journalArticle","2022","Dash, Tirtharaj; Srinivasan, Ashwin; Baskar, A.","Inclusion of domain-knowledge into GNNs using mode-directed inverse entailment","Machine Learning","","0885-6125, 1573-0565","10.1007/s10994-021-06090-8","https://link.springer.com/10.1007/s10994-021-06090-8","","2022-02","2022-10-27 11:57:16","2022-11-09 12:29:06","2022-10-27 11:57:16","575-623","","2","111","","Mach Learn","","","","","","","","en","","","","","DOI.org (Crossref)","","","","/Users/q537342/Zotero/storage/4BG3RU23/2021_Dash_Inclusion_of_domain‑knowledge_into_GNNs_using_mode‑directed_inverse_entailment.pdf; /Users/q537342/Zotero/storage/Q2PSL9BK/Dash et al. - 2022 - Inclusion of domain-knowledge into GNNs using mode.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Z6WZMKMT","journalArticle","2022","Yu, Min Gyung; Pavlak, Gregory S.","Extracting interpretable building control rules from multi-objective model predictive control data sets","Energy","","03605442","10.1016/j.energy.2021.122691","https://linkinghub.elsevier.com/retrieve/pii/S0360544221029406","","2022-02","2022-10-31 14:23:06","2022-10-31 14:23:06","2022-10-31 14:23:06","122691","","","240","","Energy","","","","","","","","en","","","","","DOI.org (Crossref)","","","","/Users/q537342/Zotero/storage/HS2G7RI2/Yu and Pavlak - 2022 - Extracting interpretable building control rules fr.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6GSCWEWL","preprint","2022","Woo, Gerald; Liu, Chenghao; Sahoo, Doyen; Kumar, Akshat; Hoi, Steven","DeepTime: Deep Time-Index Meta-Learning for Non-Stationary Time-Series Forecasting","","","","","http://arxiv.org/abs/2207.06046","Advances in I.T. infrastructure has led to the collection of longer sequences of time-series. Such sequences are typically non-stationary, exhibiting distribution shifts over time -- a challenging scenario for the forecasting task, due to the problems of covariate shift, and conditional distribution shift. In this paper, we show that deep time-index models possess strong synergies with a meta-learning formulation of forecasting, displaying significant advantages over existing neural forecasting methods in tackling the problems arising from non-stationarity. These advantages include having a stronger smoothness prior, avoiding the problem of covariate shift, and having better sample efficiency. To this end, we propose DeepTime, a deep time-index model trained via meta-learning. Extensive experiments on real-world datasets in the long sequence time-series forecasting setting demonstrate that our approach achieves competitive results with state-of-the-art methods, and is highly efficient. Code is available at https://github.com/salesforce/DeepTime.","2022-10-13","2022-11-03 08:45:40","2022-11-03 08:45:40","2022-11-03 08:45:40","","","","","","","DeepTime","","","","","arXiv","","","","","","","arXiv.org","","arXiv:2207.06046 [cs]","","/Users/q537342/Zotero/storage/GQHJJ3Y3/Woo et al. - 2022 - DeepTime Deep Time-Index Meta-Learning for Non-St.pdf; /Users/q537342/Zotero/storage/WZRCR8B7/2207.html","","","Computer Science - Artificial Intelligence; Computer Science - Machine Learning","","","","","","","","","","","","","","","","","","","arXiv:2207.06046","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"I9A6N5LW","preprint","2022","Xiao, Meng; Wang, Dongjie; Fu, Yanjie; Liu, Kunpeng; Wu, Min; Xiong, Hui; Zhou, Yuanchun","Self-Optimizing Feature Transformation","","","","","http://arxiv.org/abs/2209.08044","Feature transformation aims to extract a good representation (feature) space by mathematically transforming existing features. It is crucial to address the curse of dimensionality, enhance model generalization, overcome data sparsity, and expand the availability of classic models. Current research focuses on domain knowledge-based feature engineering or learning latent representations; nevertheless, these methods are not entirely automated and cannot produce a traceable and optimal representation space. When rebuilding a feature space for a machine learning task, can these limitations be addressed concurrently? In this extension study, we present a self-optimizing framework for feature transformation. To achieve a better performance, we improved the preliminary work by (1) obtaining an advanced state representation for enabling reinforced agents to comprehend the current feature set better; and (2) resolving Q-value overestimation in reinforced agents for learning unbiased and effective policies. Finally, to make experiments more convincing than the preliminary work, we conclude by adding the outlier detection task with five datasets, evaluating various state representation approaches, and comparing different training strategies. Extensive experiments and case studies show that our work is more effective and superior.","2022-09-16","2022-11-04 15:59:06","2022-11-04 15:59:06","2022-11-04 15:59:06","","","","","","","","","","","","arXiv","","","","","","","arXiv.org","","arXiv:2209.08044 [cs]","","/Users/q537342/Zotero/storage/HMZSHIH9/2022_Xia_Self-optimizing_feature_transformation.pdf; /Users/q537342/Zotero/storage/Y4X6MVDK/Xiao et al. - 2022 - Self-Optimizing Feature Transformation.pdf; /Users/q537342/Zotero/storage/X4DGH8PP/2209.html","","","Computer Science - Artificial Intelligence; Computer Science - Machine Learning","","","","","","","","","","","","","","","","","","","arXiv:2209.08044","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"L4FTRNB9","preprint","2022","Yang, Haotong; Lin, Zhouchen; Zhang, Muhan","Rethinking Knowledge Graph Evaluation Under the Open-World Assumption","","","","","http://arxiv.org/abs/2209.08858","Most knowledge graphs (KGs) are incomplete, which motivates one important research topic on automatically complementing knowledge graphs. However, evaluation of knowledge graph completion (KGC) models often ignores the incompleteness -- facts in the test set are ranked against all unknown triplets which may contain a large number of missing facts not included in the KG yet. Treating all unknown triplets as false is called the closed-world assumption. This closed-world assumption might negatively affect the fairness and consistency of the evaluation metrics. In this paper, we study KGC evaluation under a more realistic setting, namely the open-world assumption, where unknown triplets are considered to include many missing facts not included in the training or test sets. For the currently most used metrics such as mean reciprocal rank (MRR) and Hits@K, we point out that their behavior may be unexpected under the open-world assumption. Specifically, with not many missing facts, their numbers show a logarithmic trend with respect to the true strength of the model, and thus, the metric increase could be insignificant in terms of reflecting the true model improvement. Further, considering the variance, we show that the degradation in the reported numbers may result in incorrect comparisons between different models, where stronger models may have lower metric numbers. We validate the phenomenon both theoretically and experimentally. Finally, we suggest possible causes and solutions for this problem. Our code and data are available at https://github.com/GraphPKU/Open-World-KG .","2022-09-19","2022-11-07 08:05:16","2022-11-07 08:05:16","2022-11-07 08:05:16","","","","","","","","","","","","arXiv","","","","","","","arXiv.org","","arXiv:2209.08858 [cs, stat]","","/Users/q537342/Zotero/storage/PMD35Z2M/2022_Rethinking_Knowledge_Graph_Evaluation_Under_the_Open-World_Assumption.pdf; /Users/q537342/Zotero/storage/BV9UAAYT/2022_Rethinking_Knowledge_Graph_Evaluation_Under_the_Open-World_Assumption.pdf; /Users/q537342/Zotero/storage/ATNMJLGD/Yang et al. - 2022 - Rethinking Knowledge Graph Evaluation Under the Op.pdf; /Users/q537342/Zotero/storage/35EBQFG3/2209.html","","","Computer Science - Artificial Intelligence; Computer Science - Machine Learning; Statistics - Machine Learning","","","","","","","","","","","","","","","","","","","arXiv:2209.08858","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NQ8NIFMH","preprint","2021","Triebe, Oskar; Hewamalage, Hansika; Pilyugina, Polina; Laptev, Nikolay; Bergmeir, Christoph; Rajagopal, Ram","NeuralProphet: Explainable Forecasting at Scale","","","","","http://arxiv.org/abs/2111.15397","We introduce NeuralProphet, a successor to Facebook Prophet, which set an industry standard for explainable, scalable, and user-friendly forecasting frameworks. With the proliferation of time series data, explainable forecasting remains a challenging task for business and operational decision making. Hybrid solutions are needed to bridge the gap between interpretable classical methods and scalable deep learning models. We view Prophet as a precursor to such a solution. However, Prophet lacks local context, which is essential for forecasting the near-term future and is challenging to extend due to its Stan backend. NeuralProphet is a hybrid forecasting framework based on PyTorch and trained with standard deep learning methods, making it easy for developers to extend the framework. Local context is introduced with auto-regression and covariate modules, which can be configured as classical linear regression or as Neural Networks. Otherwise, NeuralProphet retains the design philosophy of Prophet and provides the same basic model components. Our results demonstrate that NeuralProphet produces interpretable forecast components of equivalent or superior quality to Prophet on a set of generated time series. NeuralProphet outperforms Prophet on a diverse collection of real-world datasets. For short to medium-term forecasts, NeuralProphet improves forecast accuracy by 55 to 92 percent.","2021-11-29","2022-11-07 10:19:51","2022-11-07 10:19:51","2022-11-07 10:19:51","","","","","","","NeuralProphet","","","","","arXiv","","","","","","","arXiv.org","","arXiv:2111.15397 [cs, stat]","","/Users/q537342/Zotero/storage/MVTIWAZA/Triebe et al. - 2021 - NeuralProphet Explainable Forecasting at Scale.pdf; /Users/q537342/Zotero/storage/R6CY55RU/2111.html","","","Computer Science - Machine Learning; Statistics - Machine Learning","","","","","","","","","","","","","","","","","","","arXiv:2111.15397","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AZW6XMT5","journalArticle","2019","Traag, V. A.; Waltman, L.; van Eck, N. J.","From Louvain to Leiden: guaranteeing well-connected communities","Scientific Reports","","2045-2322","10.1038/s41598-019-41695-z","http://www.nature.com/articles/s41598-019-41695-z","","2019-12","2022-11-07 20:47:30","2022-11-07 20:47:30","2022-11-07 20:47:30","5233","","1","9","","Sci Rep","From Louvain to Leiden","","","","","","","en","","","","","DOI.org (Crossref)","","","","/Users/q537342/Zotero/storage/AL8968C6/Traag et al. - 2019 - From Louvain to Leiden guaranteeing well-connecte.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PTFI84N3","journalArticle","2008","Blondel, Vincent D; Guillaume, Jean-Loup; Lambiotte, Renaud; Lefebvre, Etienne","Fast unfolding of communities in large networks","Journal of Statistical Mechanics: Theory and Experiment","","1742-5468","10.1088/1742-5468/2008/10/P10008","https://iopscience.iop.org/article/10.1088/1742-5468/2008/10/P10008","","2008-10-09","2022-11-07 20:50:02","2022-11-07 20:50:02","2022-11-07 20:50:02","P10008","","10","2008","","J. Stat. Mech.","","","","","","","","","","","","","DOI.org (Crossref)","","","","/Users/q537342/Zotero/storage/N8BES8IV/2008_Blondel_J._Stat._Mech._2008_P10008.pdf; /Users/q537342/Zotero/storage/A3W2KBNE/Blondel et al. - 2008 - Fast unfolding of communities in large networks.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"35XQUT74","bookSection","2012","Han, Jiawei; Kamber, Micheline; Pei, Jian","Cluster Analysis","Data Mining","978-0-12-381479-1","","","https://linkinghub.elsevier.com/retrieve/pii/B9780123814791000101","","2012","2022-11-07 21:18:26","2022-11-07 21:18:26","2022-11-07 21:18:26","443-495","","","","","","","","","","","Elsevier","","en","","","","","DOI.org (Crossref)","","DOI: 10.1016/B978-0-12-381479-1.00010-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4I9VTYAF","book","2005","Mirkin, B. G.","Clustering for data mining: a data recovery approach","","978-1-58488-534-4","","","","","2005","2022-11-07 21:20:27","2022-11-07 21:20:27","","","266","","","","","Clustering for data mining","Computer science and data analysis series","3","","","Chapman & Hall/CRC","Boca Raton, FL","","","","","","Library of Congress ISBN","QA76.9.D343 M57 2005","","","","","","Cluster analysis; Data mining; Data recovery (Computer science)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4WSCNZZF","bookSection","2010","Aggarwal, Charu C.; Wang, Haixun","A Survey of Clustering Algorithms for Graph Data","Managing and Mining Graph Data","978-1-4419-6044-3 978-1-4419-6045-0","","","http://link.springer.com/10.1007/978-1-4419-6045-0_9","","2010","2022-11-07 21:41:05","2022-11-07 21:41:05","2022-11-07 21:41:05","275-301","","","40","","","","","","","","Springer US","Boston, MA","","","","","","DOI.org (Crossref)","","Series Title: Advances in Database Systems DOI: 10.1007/978-1-4419-6045-0_9","","","","","","Aggarwal, Charu C.; Wang, Haixun","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Z4AHKRNA","bookSection","2006","Berkhin, P.","A Survey of Clustering Data Mining Techniques","Grouping Multidimensional Data","978-3-540-28348-5","","","http://link.springer.com/10.1007/3-540-28349-8_2","","2006","2022-11-07 21:45:12","2022-11-07 21:45:12","2022-11-07 21:45:12","25-71","","","","","","","","","","","Springer-Verlag","Berlin/Heidelberg","en","","","","","DOI.org (Crossref)","","DOI: 10.1007/3-540-28349-8_2","","","","","","Kogan, Jacob; Nicholas, Charles; Teboulle, Marc","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"LTFPDPX2","journalArticle","2007","Schaeffer, Satu Elisa","Graph clustering","Computer Science Review","","15740137","10.1016/j.cosrev.2007.05.001","https://linkinghub.elsevier.com/retrieve/pii/S1574013707000020","","2007-08","2022-11-07 21:46:46","2022-11-07 21:46:46","2022-11-07 21:46:46","27-64","","1","1","","Computer Science Review","","","","","","","","en","","","","","DOI.org (Crossref)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"V8XQW6TM","journalArticle","2022","MacKinnon, James G.; Nielsen, Morten Ørregaard; Webb, Matthew D.","Cluster-robust inference: A guide to empirical practice","Journal of Econometrics","","03044076","10.1016/j.jeconom.2022.04.001","https://linkinghub.elsevier.com/retrieve/pii/S0304407622000781","","2022-05","2022-11-08 07:19:30","2022-11-08 07:19:30","2022-11-08 07:19:30","S0304407622000781","","","","","Journal of Econometrics","Cluster-robust inference","","","","","","","en","","","","","DOI.org (Crossref)","","","","/Users/q537342/Zotero/storage/MMXHUXZD/MacKinnon et al. - 2022 - Cluster-robust inference A guide to empirical pra.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"U8EHXUUA","journalArticle","2015","Colin Cameron, A.; Miller, Douglas L.","A Practitioner’s Guide to Cluster-Robust Inference","Journal of Human Resources","","0022-166X, 1548-8004","10.3368/jhr.50.2.317","http://jhr.uwpress.org/lookup/doi/10.3368/jhr.50.2.317","","2015","2022-11-08 07:20:51","2022-11-08 07:20:51","2022-11-08 07:20:51","317-372","","2","50","","J. Human Resources","","","","","","","","en","","","","","DOI.org (Crossref)","","","","/Users/q537342/Zotero/storage/6KA2JDN7/Colin Cameron and Miller - 2015 - A Practitioner’s Guide to Cluster-Robust Inference.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"USPQCWZ6","journalArticle","2019","MacKinnon, James G.","How cluster‐robust inference is changing applied econometrics","Canadian Journal of Economics/Revue canadienne d'économique","","0008-4085, 1540-5982","10.1111/caje.12388","https://onlinelibrary.wiley.com/doi/10.1111/caje.12388","","2019-08","2022-11-08 07:22:49","2022-11-08 07:22:49","2022-11-08 07:22:49","851-881","","3","52","","Canadian Journal of Economics/Revue canadienne d'économique","","","","","","","","en","","","","","DOI.org (Crossref)","","","","/Users/q537342/Zotero/storage/U87UYREV/MacKinnon - 2019 - How cluster‐robust inference is changing applied e.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8JVJX45Q","journalArticle","2018","Conley, Timothy; Gonçalves, Silvia; Hansen, Christian","Inference with Dependent Data in Accounting and Finance Applications","Journal of Accounting Research","","0021-8456, 1475-679X","10.1111/1475-679X.12219","https://onlinelibrary.wiley.com/doi/10.1111/1475-679X.12219","","2018-09","2022-11-08 07:25:29","2022-11-08 07:25:29","2022-11-08 07:25:29","1139-1203","","4","56","","Journal of Accounting Research","","","","","","","","en","","","","","DOI.org (Crossref)","","","","/Users/q537342/Zotero/storage/ZZL9ZD6C/Conley et al. - 2018 - Inference with Dependent Data in Accounting and Fi.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"YGQL55QU","journalArticle","2021","Leung, Michael P.","Network Cluster-Robust Inference","","","","10.48550/ARXIV.2103.01470","https://arxiv.org/abs/2103.01470","Since network data commonly consists of observations from a single large network, researchers often partition the network into clusters in order to apply cluster-robust inference methods. All existing methods require clusters to be asymptotically independent. We prove under mild conditions that, in order for this requirement to hold for network-dependent data, it is necessary and sufficient that clusters have low conductance, the ratio of edge boundary size to volume. This yields a simple measure of cluster quality. We find in simulations that, when clusters have low conductance, cluster-robust methods better control size than HAC estimators. However, for important classes of networks lacking low-conductance clusters, the former can exhibit substantial size distortion. To assess the existence of low-conductance clusters and construct them, we draw on results in spectral graph theory that connect conductance to the spectrum of the graph Laplacian. Based on these results, we propose to use the spectrum to determine the number of low-conductance clusters and spectral clustering to construct them.","2021","2022-11-08 14:14:35","2022-11-08 14:14:35","2022-11-08 14:14:35","","","","","","","","","","","","","","","arXiv.org perpetual, non-exclusive license","","","","DOI.org (Datacite)","","Publisher: arXiv Version Number: 3","","/Users/q537342/Zotero/storage/CJKUL66S/Leung - 2021 - Network Cluster-Robust Inference.pdf","","","Econometrics (econ.EM); FOS: Computer and information sciences; FOS: Economics and business; Methodology (stat.ME)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MKTEVRTW","journalArticle","2014","Lee, James R.; Gharan, Shayan Oveis; Trevisan, Luca","Multiway Spectral Partitioning and Higher-Order Cheeger Inequalities","Journal of the ACM","","0004-5411, 1557-735X","10.1145/2665063","https://dl.acm.org/doi/10.1145/2665063","A basic fact in spectral graph theory is that the number of connected components in an undirected graph is equal to the multiplicity of the eigenvalue zero in the Laplacian matrix of the graph. In particular, the graph is disconnected if and only if there are at least two eigenvalues equal to zero. Cheeger's inequality and its variants provide an approximate version of the latter fact; they state that a graph has a sparse cut if and only if there are at least two eigenvalues that are close to zero.                            It has been conjectured that an analogous characterization holds for higher multiplicities: There are               k               eigenvalues close to zero if and only if the vertex set can be partitioned into               k               subsets, each defining a sparse cut. We resolve this conjecture positively. Our result provides a theoretical justification for clustering algorithms that use the bottom               k               eigenvectors to embed the vertices into R                                k                              , and then apply geometric considerations to the embedding.                                         We also show that these techniques yield a nearly optimal quantitative connection between the expansion of sets of size ≈               n               /               k               and λ                                k                              , the               k               th smallest eigenvalue of the normalized Laplacian, where               n               is the number of vertices. In particular, we show that in every graph there are at least               k               /2 disjoint sets (one of which will have size at most 2               n               /               k               ), each having expansion at most               O               (√λ                                k                              log               k               ). Louis, Raghavendra, Tetali, and Vempala have independently proved a slightly weaker version of this last result. The √log               k               bound is tight, up to constant factors, for the “noisy hypercube” graphs.","2014-12-17","2022-11-08 14:40:52","2022-11-08 14:40:52","2022-11-08 14:40:52","1-30","","6","61","","J. ACM","","","","","","","","en","","","","","DOI.org (Crossref)","","","","/Users/q537342/Zotero/storage/2JEITVNX/Lee et al. - 2014 - Multiway Spectral Partitioning and Higher-Order Ch.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"A24HEZDA","book","1997","Chung, Fan R. K.","Spectral graph theory","","978-0-8218-0315-8","","","","","1997","2022-11-08 14:42:37","2022-11-08 14:42:37","","","207","","","","","","Regional conference series in mathematics","no. 92","","","Published for the Conference Board of the mathematical sciences by the American Mathematical Society","Providence, R.I","","","","","","Library of Congress ISBN","QA1 QA166 .R33 no. 92","","","","","","Congresses; Eigenvalues; Graph theory","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"42C95JYS","journalArticle","2015","Yang, Yang; Lichtenwalter, Ryan N.; Chawla, Nitesh V.","Evaluating link prediction methods","Knowledge and Information Systems","","0219-1377, 0219-3116","10.1007/s10115-014-0789-0","http://link.springer.com/10.1007/s10115-014-0789-0","","2015-12","2022-11-08 15:08:13","2022-11-08 15:08:13","2022-11-08 15:08:13","751-782","","3","45","","Knowl Inf Syst","","","","","","","","en","","","","","DOI.org (Crossref)","","","","/Users/q537342/Zotero/storage/ZRC2TYJ9/2015_Yang_Evaluating link prediction methods.pdf; /Users/q537342/Zotero/storage/GH98IAC3/Yang et al. - 2015 - Evaluating link prediction methods.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"YHJCVJEV","journalArticle","1980","White, Halbert","A Heteroskedasticity-Consistent Covariance Matrix Estimator and a Direct Test for Heteroskedasticity","Econometrica","","00129682","10.2307/1912934","https://www.jstor.org/stable/1912934?origin=crossref","","1980-05","2022-11-08 15:34:19","2022-11-08 15:34:19","2022-11-08 15:34:19","817","","4","48","","Econometrica","","","","","","","","","","","","","DOI.org (Crossref)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
